"Type","cause","Year","Total Deaths"
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2010,7
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2011,10
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2011,10
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2011,10
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2011,10
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2011,9
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2011,10
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2011,10
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2012,9
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2012,9
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2012,9
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2012,9
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2012,3
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2012,9
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2012,9
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2013,3
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2013,3
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2013,3
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2013,3
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2013,3
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2013,3
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2014,2
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2014,2
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2014,2
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2014,2
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2014,2
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2015,2
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2015,2
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2015,2
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2015,2
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2016,0
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2016,0
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2016,0
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2017,1
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2017,1
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2018,0
Bencana Alam,Banjir,2005,2
Bencana Alam,Banjir,2006,108
Bencana Alam,Banjir,2007,140
Bencana Alam,Banjir,2008,58
Bencana Alam,Banjir,2009,30
Bencana Alam,Banjir,2010,33
Bencana Alam,Banjir,2011,14
Bencana Alam,Banjir,2012,9
Bencana Alam,Banjir,2015,35
Bencana Alam,Banjir,2016,42
Bencana Alam,Banjir,2017,6
Bencana Alam,Banjir,2018,26
Bencana Alam,Banjir,2019,43
Bencana Alam,Banjir,2020,88
Bencana Alam,Banjir,2021,124
Bencana Alam,Banjir Bandang,2005,0
Bencana Alam,Banjir Bandang,2006,251
Bencana Alam,Banjir Bandang,2007,0
Bencana Alam,Banjir Bandang,2008,42
Bencana Alam,Banjir Bandang,2009,127
Bencana Alam,Banjir Bandang,2010,215
Bencana Alam,Banjir Bandang,2011,55
Bencana Alam,Banjir Bandang,2012,38
Bencana Alam,Banjir Bandang,2015,20
Bencana Alam,Banjir Bandang,2016,81
Bencana Alam,Banjir Bandang,2017,23
Bencana Alam,Banjir Bandang,2019,109
Bencana Alam,Banjir Bandang,2020,49
Bencana Alam,Banjir Bandang,2021,120
Bencana Alam,Banjir Bandang dan Angin Siklon Tropis,2012,0
Bencana Alam,Banjir dan Tanah Longsor,2011,3
Bencana Alam,Banjir dan Tanah Longsor,2012,20
Bencana Alam,Banjir dan Tanah Longsor,2015,2
Bencana Alam,Banjir dan Tanah Longsor,2016,11
Bencana Alam,Banjir dan Tanah Longsor,2017,49
Bencana Alam,Banjir dan Tanah Longsor,2018,43
Bencana Alam,Banjir dan Tanah Longsor,2019,98
Bencana Alam,Banjir dan Tanah Longsor,2020,67
Bencana Alam,Banjir dan Tanah Longsor,2021,106
Bencana Alam,Banjir Lahar Dingin,2009,0
Bencana Alam,Banjir Lahar Dingin,2011,6
Bencana Alam,Banjir Lahar Dingin,2012,6
Bencana Non Alam dan Penyakit,Batuk Rejan,2004,4
Bencana Non Alam dan Penyakit,Batuk Rejan,2006,1
Bencana Sosial,Bencana kelaparan,2006,1
Bencana Non Alam dan Penyakit,Campak,2006,9
Bencana Non Alam dan Penyakit,Campak,2008,1
Bencana Non Alam dan Penyakit,Campak,2010,7
Bencana Non Alam dan Penyakit,Campak,2011,9
Bencana Alam,Banjir Bandang dan Tanah Longsor,2007,2
Bencana Alam,Banjir Bandang dan Tanah Longsor,2012,0
Bencana Alam,Banjir dan Tanah Longsor,2007,265
Bencana Non Alam dan Penyakit,Campak,2012,4
Bencana Non Alam dan Penyakit,Campak,2013,2
Bencana Non Alam dan Penyakit,Campak,2014,8
Bencana Non Alam dan Penyakit,Campak,2015,1
Bencana Non Alam dan Penyakit,Campak,2017,1
Bencana Non Alam dan Penyakit,Campak,2018,0
Bencana Non Alam dan Penyakit,Cedera intrakranial,2004,2554
Bencana Non Alam dan Penyakit,Cedera intrakranial,2005,3021
Bencana Non Alam dan Penyakit,Cedera intrakranial,2006,2519
Bencana Non Alam dan Penyakit,Cedera intrakranial,2006,2519
Bencana Non Alam dan Penyakit,Cedera intrakranial,2010,1025
Bencana Non Alam dan Penyakit,Cedera intrakranial,2010,1025
Bencana Non Alam dan Penyakit,Cedera lahir,2004,23
Bencana Non Alam dan Penyakit,Cedera lahir,2005,51
Bencana Non Alam dan Penyakit,Cedera lahir,2006,57
Bencana Non Alam dan Penyakit,Cedera YDT lainnya YTT dan daerah badan Multipel,2010,605
Bencana Non Alam dan Penyakit,Cedera YDT lainnya YTT dan daerah badan Multipel,2010,605
Bencana Non Alam dan Penyakit,"Cedera, Keracunan, dan Akibat Sebab Luar Tertentu Lainnya",2005,5331
